frame_index,action
0,"[6220.9248046875, 896.4798583984375, 7141.572265625, -49.843116760253906, -137.24562072753906, 0.0]"
1,"[6093.658203125, 919.9089965820312, 6318.5810546875, -62.4560661315918, -302.5771789550781, 0.0]"
2,"[2852.903076171875, 442.36590576171875, 2838.02099609375, -82.9797592163086, -553.9791870117188, 0.0]"
3,"[1366.1220703125, 213.4236297607422, 1987.826171875, -71.88330078125, -397.7972717285156, 0.0]"
4,"[1009.822509765625, 323.8995056152344, 1900.233642578125, -20.809280395507812, -98.28842163085938, 0.0]"
5,"[725.3407592773438, 384.9332275390625, 2158.7431640625, 13.370087623596191, 106.29568481445312, 0.0]"
6,"[477.7840270996094, 433.2138671875, 2491.44482421875, 63.909461975097656, 438.9580993652344, 0.0]"
7,"[178.87130737304688, 461.07763671875, 2971.53955078125, 82.63082885742188, 573.8618774414062, 0.0]"
8,"[-0.399383544921875, 477.2203063964844, 3212.67822265625, 82.56985473632812, 576.4026489257812, 0.0]"
9,"[-101.35903930664062, 483.87078857421875, 3370.81787109375, 83.19416046142578, 570.1326904296875, 0.0]"
10,"[-291.6360778808594, 477.433349609375, 3554.24462890625, 67.29411315917969, 496.5411376953125, 0.0]"
11,"[-444.2412414550781, 468.80816650390625, 3693.41552734375, 40.00442123413086, 396.1966247558594, 0.0]"
12,"[-553.5430908203125, 468.5486755371094, 3793.273193359375, 20.88296127319336, 323.9494934082031, 0.0]"
13,"[-611.2669677734375, 463.1942443847656, 3839.956298828125, 12.637109756469727, 258.85369873046875, 0.0]"
14,"[-658.966796875, 444.46087646484375, 3894.642333984375, 7.151986122131348, 190.8005828857422, 0.0]"
15,"[-693.2362060546875, 380.5649108886719, 3942.232421875, 3.149876832962036, 116.87250518798828, 0.0]"
16,"[-730.35986328125, 374.4527282714844, 3990.494140625, 1.3823586702346802, 77.57078552246094, 0.0]"
17,"[-738.86572265625, 340.2429504394531, 3997.949951171875, 1.5844883918762207, 50.491554260253906, 0.0]"
18,"[-713.7247314453125, 298.0727844238281, 3969.22021484375, 2.1539182662963867, 35.21928787231445, 0.0]"
